"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ACTBP12" 11.3136075974718 -2.09908311094271 0.399987429326377 -5.24787270059412 1.53865552959214e-07 0.00012942215287359
"ADAMTS7P3" 71.7127953488447 -1.45555724459461 0.341623446367443 -4.26070651786892 2.03781682659817e-05 0.0045604097111201
"ADGRG7" 34.5762959554129 -2.37246410574547 0.566626537148235 -4.18699787285963 2.82668473787264e-05 0.00569845626536588
"ADH1C" 1416.3752236706 -2.28600269813428 0.418405227518416 -5.46360931409171 4.66549743634058e-08 5.69027394823279e-05
"ADIPOQ" 2.10884081687576 -3.18258970977797 0.712253897208893 -4.46833597155392 7.88304259803024e-06 0.00234501290358234
"AGER" 7686.37644795904 -1.78238408382293 0.3895057547198 -4.57601476287593 4.73917116876388e-06 0.00162820566647405
"BPIFA1" 1595.55953746601 -2.22156821658917 0.478486513545172 -4.64290665191222 3.43541589136917e-06 0.00123235440938483
"BPIFB2" 81.4003142520686 -3.27508508955301 0.544906017644486 -6.01036689539696 1.85103931645528e-09 3.76270017052447e-06
"C10orf71" 2.57045323454817 -2.35306731709187 0.525109629250631 -4.48109725287245 7.42602605446064e-06 0.00223633399440072
"C11orf53" 85.2270480427723 -2.27205545550293 0.418420258118676 -5.43007995291306 5.63288104382171e-08 6.24558487736105e-05
"C1orf189" 23.6715975462366 -1.38549149359238 0.339648563207361 -4.07919138685275 4.51926205160322e-05 0.0084141968210553
"C1orf194" 102.125072299313 -1.48778245952925 0.368410526406633 -4.03838205721383 5.38211427041197e-05 0.00928441037471565
"C20orf197" 48.1139075769155 -1.33950021126737 0.276341223664458 -4.84726887108902 1.25172731434912e-06 0.000565433044054037
"CALB1" 1537.7697770068 -2.82434677347051 0.447875667114908 -6.30609559939743 2.86162321914665e-10 9.97193931209202e-07
"CBLN2" 89.0157765508199 -2.15260995347542 0.441015807028187 -4.88102675498394 1.05534921311421e-06 0.000504767320695978
"CD177" 495.746479588799 -1.72469986521864 0.326067247161699 -5.28939928874042 1.22718730254283e-07 0.000106909928110454
"CD300LG" 58.1690008609541 -2.35052957274721 0.436660711161911 -5.38296556723109 7.32685581850971e-08 7.14895975923629e-05
"CHRNA6" 38.4119440059311 -1.98909967215186 0.358597515402162 -5.54688637460613 2.90801586334026e-08 3.94084616413661e-05
"CLDN18" 4063.66539098021 -3.18838602219631 0.432446336625212 -7.37290561200795 1.66948693304758e-13 4.07237947578296e-09
"CLEC3B" 648.242082419891 -1.32730641436356 0.305260798991727 -4.34810633644295 1.37318026357164e-05 0.0034221116630343
"CLIC5" 2160.25785792807 -1.78659910080282 0.353459591099846 -5.05460637026013 4.31279337839231e-07 0.000276847286524009
"CNTN6" 92.0634730032225 -1.6595433000339 0.413290049910098 -4.01544460215022 5.93338351141165e-05 0.00985050807453162
"COL19A1" 82.1194900889745 -2.17559926371656 0.380297420731749 -5.72078364226184 1.06033851736724e-08 1.72432249694261e-05
"COL9A3" 437.690217749207 -1.18667509281786 0.293487344103317 -4.04336035832644 5.26905427923641e-05 0.00924662165708012
"CT55" 8.4781206921068 -2.93097683977439 0.566047073837423 -5.17797366198595 2.24308888412653e-07 0.000165805051971208
"CTCFL" 203.134760421006 -2.67189384545867 0.556611499464156 -4.80028502470912 1.58439971173434e-06 0.00069014753872028
"DDC" 99.1843825965274 -1.43603047483501 0.33857242720275 -4.24142771075408 2.22102426976748e-05 0.00483727187611055
"DEFA5" 25.7113049417181 -6.4483947544614 1.60027800218286 -4.02954658232222 5.58845412297291e-05 0.00946660843206099
"DNAH12" 114.815379577165 -1.73689247066928 0.336745809258093 -5.15787404896275 2.49769534495128e-07 0.000179194948674696
"ERVH48-1" 20.3693462514736 -1.43261043279772 0.326056527903954 -4.39374866072219 1.11412618621139e-05 0.00305358202924208
"F2" 7.74997864515462 -2.62179555702875 0.515611967192215 -5.08482293633688 3.67969184333899e-07 0.00024259114360694
"FABP7" 162.679816529236 -1.99693756397393 0.44558706575994 -4.48158781397345 7.40897352570579e-06 0.00223633399440072
"FAM107A" 1177.26299633272 -1.94686689327763 0.336095328178855 -5.79260325880399 6.93036892990863e-09 1.20751778076615e-05
"FCN3" 1184.84625122241 -1.8242246903034 0.335194229857222 -5.44229144720193 5.25995244828493e-08 6.10981047957211e-05
"FGF19" 133.823062148474 -2.25860767904111 0.535488598079262 -4.21784457622904 2.46648729640433e-05 0.00518664005355094
"FGF4" 6.3541602212772 -4.60002980247053 0.944393131256167 -4.87088443385001 1.11099810804987e-06 0.000521164939416546
"FMO3" 1760.0865540136 -1.24561506814943 0.297340724646851 -4.18918420821378 2.79959077549341e-05 0.00569086814888423
"FRMD1" 10.3709066065104 -1.80292115219079 0.412524509825593 -4.37045826186917 1.23986053267966e-05 0.00325203419071558
"GP2" 17.04563948768 -3.28247713842591 0.654582162077874 -5.01461440379947 5.31399268024999e-07 0.000301451682440321
"GRM1" 48.5255353801735 -1.39989758025464 0.33887930299269 -4.13096216821728 3.61248035543326e-05 0.0069733589209771
"HBE1" 24.9260791057165 -1.92203198632267 0.449291116690821 -4.27792118499711 1.8864678620848e-05 0.00432434099025288
"HEPACAM2" 53.6442373780219 -1.91356399518571 0.404941038952355 -4.72553732794383 2.29507668668826e-06 0.00091387358909874
"HGD" 101.142256907593 -1.36223503011177 0.337404341466446 -4.03739627116577 5.40477298081262e-05 0.00928441037471565
"HNF1A" 8.13565269406108 -1.40033100311719 0.340909031309266 -4.10763832726637 3.99725384463947e-05 0.0075003856178685
"HSPB3" 99.1137376732201 -1.38677617725552 0.317724717810915 -4.36470976136273 1.27291652929372e-05 0.00330321839351721
"HTR3C" 15.8327304194498 -1.97208776684654 0.456102649943226 -4.3237805504792 1.53377870763736e-05 0.00366374538501182
"IGKV5-2" 240.147710261972 -1.41921452413832 0.348445058702017 -4.07299368636478 4.64126829924423e-05 0.0084141968210553
"INSM1" 71.4155116917414 -2.22365094005877 0.433568415396992 -5.12871985387292 2.91719075788946e-07 0.000203311526163422
"IRS4" 44.8040903190881 -2.46372456418899 0.496101838257871 -4.96616697257299 6.82891644891517e-07 0.000354420763698697
"KCNJ3" 8.55907104737518 -2.00836954919726 0.422944856185638 -4.748537592607 2.04892806800023e-06 0.00084711020953779
"KIF25-AS1" 21.8726067789974 -1.81174594163781 0.393613969810215 -4.60284969690321 4.16748994030695e-06 0.00145225117305582
"KIRREL3" 61.5298768815485 -1.13662934754477 0.279125394705034 -4.07211013081021 4.65891403203869e-05 0.0084141968210553
"KRT1" 508.764453408086 -1.67629352897231 0.382490371338979 -4.3825770648922 1.17283658482318e-05 0.00312238023079912
"KRT16P3" 44.520255830937 1.61683227394624 0.301671337156889 5.35958201791435 8.34147181181479e-08 7.82590468867685e-05
"KRT20" 36.9074924052049 -1.82126943985433 0.441767303904783 -4.12268953305536 3.74474266206638e-05 0.00713636779342072
"KRT4" 3274.04285557169 -1.66306718452375 0.399635660404226 -4.16145842150718 3.16221578238633e-05 0.00622063948223789
"LCT" 12.549038830008 -1.29598535721029 0.318978849903412 -4.06291939921007 4.84627670790075e-05 0.0086288487398411
"LINC00221" 59.3939378002481 -4.69612430706241 0.778991098491583 -6.02846979401415 1.65519324511228e-09 3.67046625709308e-06
"LINC00664" 21.9331261148743 1.67733254662512 0.31388792950481 5.34373064065025 9.10528436122934e-08 8.22611857123953e-05
"LINC01033" 9.04542960824292 -1.89557317243107 0.40989722433342 -4.62450843748374 3.7548780162182e-06 0.00132743100651609
"LINC01206" 1291.48307173611 -2.13678590117632 0.48448258980829 -4.41044930432247 1.03156355150874e-05 0.0028922907714888
"LINC01287" 53.1440242349819 -3.49363513569081 0.489643450700516 -7.13505946151753 9.67453283143938e-13 1.1799543967865e-08
"LINC01602" 12.8841538215078 -2.6241319824229 0.469942080168954 -5.58394766750718 2.35119481537416e-08 3.37368794890717e-05
"LINC01615" 67.3391022618662 1.17629121451707 0.268369357899678 4.3831055218934 1.16999406310929e-05 0.00312238023079912
"LINC01694" 159.624072445945 -1.18700335440692 0.279551877577093 -4.24609330008729 2.17530078374979e-05 0.00478037045207284
"LINC01989" 4.17901675753894 -2.32985965207555 0.531726396085611 -4.38168890848222 1.17762875100856e-05 0.00312238023079912
"LINC02582" 33.5896381925474 -3.73542795836388 0.618216411774843 -6.04226592373989 1.51964726586512e-09 3.67046625709308e-06
"LOC100129291" 6.88796187449101 -2.13556610521561 0.517109904066572 -4.12981087467372 3.63061773034925e-05 0.0069733589209771
"LOC100506405" 14.0600080542671 -3.28906353417584 0.610118416571389 -5.39086092935696 7.01209265089e-08 7.14895975923629e-05
"LOC158434" 13.6630844282383 -2.46543966821651 0.556788850267377 -4.42796163578452 9.51278161020108e-06 0.00276244383116232
"LOC339260" 239.937020890507 -1.15934990725429 0.288730809629425 -4.01533147343115 5.93623042248247e-05 0.00985050807453162
"LRRTM1" 35.7043863131143 -1.94225449825364 0.482966066735163 -4.02151337749922 5.78254233181898e-05 0.00972783138621106
"MAEL" 41.5010269372864 -1.99920630130162 0.399788548127735 -5.00065925015654 5.71346130929098e-07 0.000309707692705633
"MIR203A" 0.969574255307808 1.99338919149588 0.42622994106753 4.67679296884509 2.91396182083484e-06 0.00111062922961913
"MIR378A" 2.25381258475129 1.20954741121438 0.246145722575491 4.91394852836989 8.92601928065534e-07 0.000435464776626052
"MOBP" 43.1188776184147 -1.35669664487354 0.31861695726449 -4.25808047544476 2.06189728096891e-05 0.00457235094315224
"MORC1" 14.3210149044828 -3.46868907459607 0.668966669127292 -5.18514484304754 2.15847046996375e-07 0.000164536156793205
"MROH7-TTC4" 4.62880886596251 1.12947342773205 0.251206740493314 4.49619076906145 6.91816713814468e-06 0.00216352373077902
"MS4A8" 242.918208388156 -1.93225030315819 0.443625125530174 -4.35559257571122 1.32707414209099e-05 0.00337201245291933
"MSGN1" 12.6989307562579 -1.70789679013774 0.407339893577508 -4.19280511696989 2.75526128911807e-05 0.00564782257356783
"MTATP8P2" 12.3050340174794 1.16063581399024 0.255467682528292 4.5431805796481 5.54117440837289e-06 0.00185158722388274
"MUC13" 139.543928746996 -1.81364707829321 0.361670020251709 -5.01464588364547 5.31312276648022e-07 0.000301451682440321
"MUC2" 60.7003551242011 -2.07078182068808 0.414717582265148 -4.99323373120009 5.93766272514884e-07 0.000314863927944686
"MUC5AC" 251.043338448051 -2.33253565356062 0.390738206499836 -5.96956124269256 2.37892453906813e-09 4.46377740626839e-06
"MYB" 879.502268435901 -1.29921596455252 0.258078556847852 -5.03418796362249 4.79878641820761e-07 0.000292641992748346
"MYOM3" 89.9872308201296 -1.24969100985525 0.275732295728574 -4.53226201360693 5.83554040527638e-06 0.00189795116141209
"NCAM1" 371.094540145198 -1.47690295074382 0.298515194492483 -4.94749673715859 7.5173963681441e-07 0.000382024686683623
"NEFH" 200.589619570646 -1.77728049655266 0.316504684547567 -5.61533709712142 1.96179405380017e-08 2.99087764714672e-05
"NMNAT2" 154.041703556158 -1.04131663879342 0.249207286497935 -4.1785160194425 2.93417332890667e-05 0.00586666311573938
"NOC2LP1" 39.9264641514182 -1.85856364958305 0.298098628852013 -6.23472726708081 4.52565861228085e-10 1.37992988161708e-06
"NOL4" 19.4386773362562 -1.87113830892647 0.417477934857961 -4.48200528146017 7.39449132174647e-06 0.00223633399440072
"NR5A1" 25.6943958477832 -1.90522791895323 0.397796990674543 -4.78944779276117 1.67240901121086e-06 0.000703363327766663
"OLFM4" 237.48865038708 1.91581986604011 0.403962944951641 4.74256337117617 2.11030783820784e-06 0.000857945651623397
"PCK1" 21.9039412382045 -2.22236986000957 0.470532372287736 -4.72309662607139 2.32280418661591e-06 0.00091387358909874
"PIWIL2" 74.9885533769826 -1.50373827449097 0.287443948696564 -5.23141392020874 1.68218364635449e-07 0.000136778352285083
"PLP1" 24.3739357647258 -1.57851289017621 0.34893180895833 -4.52384348359801 6.0726639236585e-06 0.00194908540907634
"PNMA5" 47.9683983789904 -2.90506784888643 0.428037058431524 -6.78695405377189 1.14525661115552e-11 5.5872489031833e-08
"PNMA6E" 6.04910378326937 -2.71380504749314 0.671973299975851 -4.03856082911429 5.37801477560101e-05 0.00928441037471565
"PRG4" 296.2226243494 -1.44937411814571 0.336709169790169 -4.30452820470832 1.6734197299557e-05 0.00392497379546244
"PRH2" 13.524432162532 -1.6953601136014 0.363813133544927 -4.6599750181697 3.16247763970742e-06 0.00117823330704083
"PROM1" 753.626339182489 -1.48155957538728 0.336223344630371 -4.40647444339727 1.05066698268151e-05 0.00291237723960798
"RGS8" 11.3811688567847 -1.56784836133259 0.336569182365849 -4.65832418259955 3.18793909173513e-06 0.00117823330704083
"S100A12" 333.964538550953 1.68905674381576 0.337173940238866 5.00945222106776 5.4585175522972e-07 0.000302612769666331
"S100A15A" 3.07823418130844 2.42302342248776 0.560194217279277 4.32532744492754 1.52305452150233e-05 0.00366374538501182
"SDR9C7" 91.1762726976999 1.53149939345244 0.353411463229406 4.33347401767303 1.46774610198315e-05 0.0035802730665675
