File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
2e61f828-0f1c-4714-b84e-09f2ba060a32	b2a41a93-9530-49b8-964d-d58df94fef9f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-7142	TCGA-77-7142-01A	Primary Tumor
8cf4c669-ab49-41a6-b493-2b95e0e5dc15	5e010a9a-7f65-434b-ae4c-43948461187c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-5482	TCGA-22-5482-11A	Solid Tissue Normal
9e4bc787-3ac1-431d-808c-d896622b6486	cde68293-df99-4411-a897-f1b284fc5f8a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-7463	TCGA-77-7463-01A	Primary Tumor
f1e3d996-9df9-475d-943b-b01cbf7e36bb	c897eb81-97e5-4007-9d85-66aa2c565f0e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-8143	TCGA-77-8143-01A	Primary Tumor
91f6ea31-2aa1-4258-9a49-26ff10b33248	15975c7c-40b7-4782-a4e8-a484f11ac63f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-5782	TCGA-21-5782-01A	Primary Tumor
e7aa16a1-852d-4b9a-bab5-19a517008284	0ec376a1-d432-48d9-8930-11e912b165f1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-98-A53C	TCGA-98-A53C-01A	Primary Tumor
4d55e364-91eb-4b5c-b574-36d45c128545	4ea3ac9e-85e8-4506-8c17-f1d9ed349cca.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-7656	TCGA-43-7656-01A	Primary Tumor
520b1b5a-b146-4809-b423-320a51323340	c1a0244b-d1df-4457-b21d-14006133525a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-1078	TCGA-21-1078-01A	Primary Tumor
8da17624-c906-425b-9d96-5700e0fb4f0d	0c2381c5-4134-44a4-ac41-e141e89e1b1f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-8048	TCGA-85-8048-01A	Primary Tumor
58fa1ee0-47b4-4a29-b34d-48fd14b6b760	8b8e0f2b-8e64-4237-98d3-1ea4c7eed0c5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-LA-A7SW	TCGA-LA-A7SW-01A	Primary Tumor
64dc5c4b-17b2-4b2a-b468-b0b60021ddb9	2ebd1f3f-6148-4f6a-afb9-75cadb3000e8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-56-8624	TCGA-56-8624-01A	Primary Tumor
fe1c3938-925d-4b94-b2d6-ec675eafe8f2	5c7f58e7-f1a5-44e5-a6f5-853c83b84016.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-3407	TCGA-18-3407-01A	Primary Tumor
734b2757-cdcf-4746-adc2-f524cf4ed52d	ec2c4c86-5eaf-4f58-8da7-a9528f9922b9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-4086	TCGA-18-4086-01A	Primary Tumor
df02ca71-9fd1-4f62-baf6-2a12c1b4565c	113872f7-02c9-4a3f-9af6-fd70130c458a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-34-5241	TCGA-34-5241-01A	Primary Tumor
9b9a8eb6-37a5-435e-b763-6f108ad789f4	e64f1956-9d3a-4d15-a3f7-91ac52399d49.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-90-A59Q	TCGA-90-A59Q-01A	Primary Tumor
