"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-let-7a-1" 26609.4748721218 -0.0558467404112471 0.103937109679501 -0.537312809481189 0.591051558738925 0.806099335690811
"hsa-let-7a-2" 26537.6532608379 -0.0553714901718086 0.104033103283725 -0.532248759520285 0.594553716183663 0.80743724470765
"hsa-let-7a-3" 26725.8247219378 -0.0523175231139022 0.103581002891875 -0.505088014725198 0.613497018999527 0.81685341929532
"hsa-let-7b" 54387.8332865166 0.00126858994009083 0.119544661715297 0.0106118493447416 0.991533128157536 0.996768012178032
"hsa-let-7c" 5503.52099606189 0.17735157871446 0.177612305320364 0.998532046496248 0.31802143282814 0.641625968093085
"hsa-let-7d" 2173.78965096673 0.00399022656350917 0.0814476035766219 0.0489913317063449 0.960926203942262 0.983996326943699
"hsa-let-7e" 2688.66004552655 -0.0705251518771184 0.130044016947373 -0.542317543956357 0.587599771784445 0.806099335690811
"hsa-let-7f-1" 10833.5614646262 -0.0276508766394554 0.132235260815449 -0.20910365714063 0.8343673198281 0.951116478386136
"hsa-let-7f-2" 10971.8478931744 -0.0300106319845439 0.132639316705818 -0.226257438064949 0.821001199536963 0.944209366604353
"hsa-let-7g" 1627.84975130211 0.0706974691173391 0.0658691614565733 1.07330148971077 0.283135867029105 0.609140897023885
"hsa-let-7i" 2021.88897020456 0.0530029046517643 0.0753875651797145 0.703072244413412 0.482010728263395 0.736271387422335
"hsa-mir-1-1" 14.5466066975456 -0.675538003789641 0.260344896481306 -2.59478104975316 0.00946511935398291 0.126724157636679
"hsa-mir-1-2" 15.9315261293282 -0.568930292801992 0.257326166904841 -2.21093058527694 0.0270406443027625 0.208168986315805
"hsa-mir-100" 18104.4856936575 -0.523063370526901 0.169495668606444 -3.08599844956165 0.00202869880010184 0.0742046059921062
"hsa-mir-101-1" 21616.8712162889 -0.268948387959074 0.155299651486166 -1.73180290738149 0.0833086603329189 0.321157183351625
"hsa-mir-101-2" 21724.2940407167 -0.266677127091788 0.15536190965811 -1.71648976044797 0.0860724404957618 0.326752253992214
"hsa-mir-103a-1" 35732.5313727351 -0.0840278725342965 0.100874261114871 -0.83299616379454 0.404846892827436 0.692541482266505
"hsa-mir-103a-2" 35796.9867381285 -0.0829888620966865 0.100556457559088 -0.825296197888851 0.409203449893779 0.692585340401936
"hsa-mir-105-1" 197.754833885294 0.349766936453549 0.462154762799304 0.756817768868128 0.449159045848107 0.714756946502697
"hsa-mir-105-2" 196.785562219782 0.311369982358469 0.458489893530625 0.679120710733117 0.497061380806093 0.747000339810764
"hsa-mir-106a" 99.2575818682545 -0.177172528756833 0.200894503588562 -0.881918248593241 0.377821017919932 0.678966593967878
"hsa-mir-106b" 2628.14342160716 0.146046121720281 0.104094600152423 1.40301342727125 0.160612834990033 0.448102475702786
"hsa-mir-107" 249.393097992365 -0.0687504164793515 0.0853571966570892 -0.805443702135004 0.420563681436923 0.697797029966334
"hsa-mir-10a" 83055.6328722242 0.0668606143748545 0.134645404511112 0.496568112499796 0.619493644363718 0.817517530683006
"hsa-mir-10b" 39912.3646104846 1.27491188897413 0.199768746441519 6.38193867501368 1.74859992020723e-10 1.06839455124662e-07
"hsa-mir-1180" 105.910491588003 0.0328549435256195 0.175034330916762 0.18770571095132 0.851107353158353 0.955931236727489
"hsa-mir-1185-1" 1.12006629263805 -0.245460015953814 0.392066883953417 -0.626066689128935 0.531271200071598 0.762100575421835
"hsa-mir-122" 1.97340466187716 -2.79808052689909 0.958179154796816 -2.92020601042238 0.00349800065088817 0.089053266570528
"hsa-mir-1224" 6.88799380719026 -0.131641169232998 0.3791122847968 -0.347235303397136 0.72841455061084 0.888090263648939
"hsa-mir-1226" 5.15872096849987 0.274271417848233 0.178959029154983 1.53259334912187 0.125376081232937 0.392845054529868
"hsa-mir-1228" 4.5213809116107 0.113124525929649 0.167256140412507 0.676354994505122 0.498815284194422 0.747000339810764
"hsa-mir-1229" 2.41656778877252 0.547628495233331 0.238895037332918 2.29233935265959 0.0218860686796379 0.19665276416557
"hsa-mir-1245a" 7.0566909692629 -0.0634589216991229 0.184663231082735 -0.343646763500479 0.731111951907392 0.888090263648939
"hsa-mir-1246" 1.33873298985486 -0.993397462057975 0.532684256249611 -1.8648898487296 0.0621968456280801 0.30558016730324
"hsa-mir-1247" 101.449185121955 -0.187409929448424 0.250497265385349 -0.748151598222537 0.454368722052732 0.715390674664471
"hsa-mir-1248" 26.4429064269511 -0.71262912795923 0.269723266927597 -2.64207510192484 0.00823997822462223 0.126724157636679
"hsa-mir-1249" 7.84973560151127 -0.14466905822275 0.168875123917438 -0.856662928599707 0.391631196744702 0.681728379518555
"hsa-mir-1251" 1.36805232481042 -0.785092065947817 0.509065401438877 -1.54222240153966 0.123019558180576 0.389763121877042
"hsa-mir-1254-1" 1.94426196189703 -0.206231834571228 0.256410466460743 -0.80430349594486 0.421221719164644 0.697797029966334
"hsa-mir-1254-2" 1.85147097946599 0.296763094768616 0.258154670225963 1.14955539835425 0.250327037297914 0.577169131279341
"hsa-mir-1255a" 1.64862732232656 0.348006029921114 0.239391617207534 1.45371017573861 0.146026675800991 0.424868090068598
"hsa-mir-1258" 2.81717608359434 -0.0549358309805655 0.309980882917922 -0.177223287008675 0.859333004788811 0.957612404869129
"hsa-mir-125a" 1912.38356092604 -0.103272587420862 0.102980030498877 -1.00284090925754 0.315937627006564 0.641625968093085
"hsa-mir-125b-1" 952.930382037322 -0.193500589046111 0.12244924495103 -1.58025138598034 0.114049308104738 0.382142375672065
"hsa-mir-125b-2" 1019.16841832891 -0.169477033738392 0.124356054946229 -1.36283700710571 0.172933885106251 0.469611572444087
"hsa-mir-126" 13016.3688427837 -0.231475288310237 0.152011468669709 -1.52274884478084 0.127821552636823 0.396441465284767
"hsa-mir-1262" 4.45569018404882 -0.341079424887478 0.202704817030743 -1.68264094501389 0.0924446202772636 0.336151294194569
"hsa-mir-1266" 30.5546369893917 0.454675799923879 0.216920161446435 2.09605136236336 0.036077634910804 0.244318723637256
"hsa-mir-1269a" 1376.93561733666 0.461638120624047 0.397979145026169 1.1599555564493 0.246066901439758 0.573279529501399
"hsa-mir-1269b" 180.58353680522 -0.49709454100447 0.638373884022664 -0.778688717452016 0.436163103899511 0.705286441887654
"hsa-mir-127" 2702.59253250614 -0.365271304625556 0.176754582973469 -2.06654502803123 0.0387770453074738 0.248319749829775
"hsa-mir-1270" 5.62706718399199 -0.224559406231176 0.297514904116876 -0.754783720492066 0.45037876334458 0.714756946502697
"hsa-mir-1271" 16.004232736934 0.211886151917564 0.143868581878935 1.47277570370344 0.140811525730861 0.417649719522118
"hsa-mir-1277" 6.21917404574957 0.245974322483678 0.189175585251539 1.30024348626498 0.193517530581416 0.498899625254199
"hsa-mir-128-1" 414.321512875189 -0.00492208988155811 0.122279659473394 -0.0402527280723175 0.967891640741674 0.983996326943699
"hsa-mir-128-2" 308.013738793047 0.0534105582002884 0.12745550596221 0.419052576795893 0.675177707977217 0.848834525872592
"hsa-mir-1284" 1.15525875694032 -0.0335143894711552 0.258686607572784 -0.129555951062235 0.896917755391535 0.970194660026667
"hsa-mir-1287" 115.225061656166 -0.0223375598123191 0.128510631446506 -0.17381876939588 0.86200789309005 0.957612404869129
"hsa-mir-1288" 2.17385698277489 0.136096058624469 0.192256633658911 0.707887452486667 0.47901515232911 0.733529468854853
"hsa-mir-129-1" 29.4448711107981 -1.33795529847581 0.327450507438599 -4.0859771723722 4.38916938305334e-05 0.0041322933184841
"hsa-mir-129-2" 30.574221442161 -1.40251008348379 0.322686024413423 -4.3463614082242 1.38414438914982e-05 0.00169142444354108
"hsa-mir-1291" 3.68571536858066 -0.0521537812003044 0.235554875502419 -0.221408200908874 0.824774607478034 0.9454733305236
"hsa-mir-1292" 2.2729696926322 -0.0861204361594799 0.209554508587863 -0.410969139914119 0.68109516338171 0.852787231336449
"hsa-mir-1293" 13.7485928436854 0.440261452785471 0.354699645973158 1.24122326532795 0.214523282513905 0.524942947572275
"hsa-mir-1295a" 6.00155475507103 0.281067170669539 0.228701982147453 1.22896692031433 0.219084208888593 0.524942947572275
"hsa-mir-1295b" 3.19417637300612 -1.44292262334245 0.507684169156131 -2.84216587990299 0.0044808170912236 0.0977778300977721
"hsa-mir-1296" 24.8328610288568 -0.118718749389978 0.15819796816018 -0.750444210950751 0.452987212233585 0.715390674664471
