Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	130	30.80568720379147	4.064027766955769E-26	UGT1A10, PRSS1, SLC8A2, BPIFA1, BPIFA2, SLC39A5, FAM3D, PRSS2, SPINK4, EPHA5, SPINK1, MUCL1, MIA, UGT2B15, SHISA3, CEL, OLFM4, GABRG3, PGC, PRAP1, MUC3A, PRLR, ADAM2, DKK4, AZGP1, PSG4, ADGRB1, UTS2, CLPSL2, ZG16, CALCA, CALCB, CPB1, TMEM59L, MTTP, CHRNA9, NTS, KNG1, CRHR2, HPX, CHAD, APOF, CLCA2, TAC4, UGT3A1, TAC3, PI3, CGA, APOB, AMBP, MUC17, REG4, GP2, PRG4, TF, PROC, FXYD4, ALB, FAT2, PCSK2, RET, PCSK1, ORM1, PSCA, GRIK5, CGB5, CSAG1, ORM2, WFDC5, C8A, INSL6, PRB4, GABRR1, GRM4, OBP2B, SPX, LBP, UGT2A1, AMH, MSMB, FGB, PCDHGA8, IL11, FGA, IL19, GFRA1, HTR3B, F2, MUC5AC, F7, COL2A1, CEACAM7, ANGPTL3, TFF2, UGT2B4, CDHR5, TFF1, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, CDH18, TEX101, ITIH6, SBSN, CPN1, DLL3, FSTL5, GLRA3, TTR, MUC2, SLITRK2, SLITRK1, LAIR2, TAS1R1, GPHA2, UGT1A6, MUC6, CHGA, GABRP, LRRC26, KLK13, KLK14, APOC3, GUCA2B, KLK12, NOTUM, INHA, UMODL1	309	3346	20063	2.5226372793094978	4.1981406832653096E-23	4.202204711032265E-23	4.153436377828796E-23
UP_KEYWORDS	Signal	146	34.59715639810427	1.2146700600205524E-25	UGT1A10, PRSS1, SLC8A2, RIMS1, BPIFA1, BPIFA2, SLC39A5, FAM3D, PRSS2, SPINK4, EPHA5, SPINK1, MUCL1, MIA, UGT2B15, SHISA3, CEL, OLFM4, GABRG3, PGC, PRAP1, MUC3A, PRLR, ADAM2, DKK4, AZGP1, PSG4, ADGRB1, UTS2, CLPSL2, ZG16, CALCA, CALCB, CPB1, TMEM59L, MTTP, CHRNA9, NTS, CYP2C18, KNG1, CRHR2, HPX, CYP2B6, CHAD, APOF, CLCA2, TAC4, UGT3A1, TAC3, PI3, CGA, APOB, AMBP, MUC17, REG4, CYP4F3, GP2, A2ML1, PRG4, CYP2C9, TF, PROC, FXYD4, ALB, FAT2, PCSK2, RET, PCSK1, ORM1, PSCA, IGHV3-64, BNC1, GRIK5, CGB5, HTR2C, CSAG1, ORM2, WFDC5, C8A, INSL6, PRB4, GABRR1, UPK1B, GRM4, OBP2B, SPX, LBP, UGT2A1, AMH, MSMB, FGB, PCDHGA8, IL11, FGA, IL19, GFRA1, HTR3B, F2, MUC5AC, F7, COL2A1, CEACAM7, ANGPTL3, TFF2, UGT2B4, CDHR5, TFF1, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, CDH18, TEX101, ITIH6, SLC3A1, SLC5A12, SBSN, CYP3A5, CPN1, DLL3, FSTL5, GLRA3, TTR, MUC2, SLITRK2, SLITRK1, BPIFA4P, LAIR2, TAS1R1, SLC13A5, GPHA2, UGT1A6, MUC6, CHGA, GABRP, LRRC26, KLK13, KLK14, APOC3, GUCA2B, KLK12, ERVH48-1, NOTUM, INHA, UMODL1	315	4160	20581	2.2930601343101342	3.498249772859191E-23	3.498249772859191E-23	3.145995455453231E-23
UP_KEYWORDS	Secreted	89	21.09004739336493	3.648589997724635E-21	PRSS1, ORM1, CGB5, ORM2, WFDC5, C8A, INSL6, PRB4, BPIFA1, FGF9, BPIFA2, OBP2B, FAM3D, SPX, LBP, AMH, PRSS2, LGALS7, MSMB, SPINK4, FGB, IL11, FGA, SPINK1, MUCL1, MIA, IL19, CEL, OLFM4, F2, PRAP1, MUC3A, PGC, PRLR, MUC5AC, DKK4, F7, AZGP1, COL2A1, PSG4, ANGPTL3, UTS2, TFF2, TFF1, CLPSL2, ZG16, S100A7, CALCA, CALCB, CPB1, ITIH6, NTS, SBSN, KNG1, CPN1, FSTL5, HPX, MUC2, TTR, BPIFA4P, CHAD, CLCA2, APOF, LAIR2, TAC4, TAC3, PI3, CGA, APOB, GPHA2, MUC6, CHGA, AMBP, MUC17, REG4, KLK13, GP2, GUCA2B, KLK14, APOC3, A2ML1, PRG4, KLK12, TF, PROC, ALB, ERVH48-1, NOTUM, INHA	315	1965	20581	2.959261682620461	1.0507939193446948E-18	5.253969596723474E-19	4.724924047053402E-19
UP_KEYWORDS	Disulfide bond	103	24.407582938388625	3.682585333693086E-12	PRSS1, CLDN2, BPIFA1, BPIFA2, FAM3D, PRSS2, SPINK4, SPINK1, MIA, CEL, OLFM4, GABRG3, PGC, MUC3A, PRLR, ADAM2, DKK4, AZGP1, PSG4, ADGRB1, UTS2, CLPSL2, S100A7, CALCA, CALCB, CPB1, MTTP, CHRNA9, KNG1, CRHR2, HPX, CHAD, OR51B5, PI3, CGA, APOB, NTSR1, AMBP, MUC17, REG4, GP2, A2ML1, PRG4, TMPRSS15, TF, PROC, ALB, FAT2, GALNTL6, PCSK2, RET, PCSK1, TRIM72, ORM1, PSCA, GRIK5, CGB5, HTR2C, SLC6A2, ORM2, WFDC5, C8A, INSL6, GABRR1, GRM4, OBP2B, LBP, AMH, MSMB, FGB, FGA, IL19, GFRA1, HTR3B, F2, MUC5AC, F7, COL2A1, CEACAM7, SLC7A9, ANGPTL3, TFF2, TFF1, CNTNAP5, SLC3A1, CPN1, DLL3, FSTL5, GLRA3, MUC2, LAIR2, GPHA2, MUC6, CHGA, GABRP, LRRC26, KLK13, KLK14, GUCA2B, KLK12, CLEC2A, INHA, UMODL1	315	3434	20581	1.9597147109668949	1.0605916145323135E-9	3.5352819203453625E-10	3.179298671421697E-10
GOTERM_CC_DIRECT	GO:0005576~extracellular region	65	15.402843601895736	3.853702252373971E-12	PRSS1, ORM1, CGB5, ORM2, WFDC5, C8A, INSL6, PRB4, BPIFA1, FGF9, BPIFA2, OBP2B, FAM3D, LBP, AMH, PRSS2, SPINK4, FGB, IL11, FGA, MUCL1, IL19, CEL, F2, PRAP1, MUC3A, PRLR, MUC5AC, DKK4, F7, AZGP1, COL2A1, UTS2, CLPSL2, S100A7, CALCA, CALCB, ITIH6, NTS, KNG1, FSTL5, HPX, TTR, BPIFA4P, CLCA2, APOF, LAIR2, TAC3, CGA, APOB, GPHA2, MUC6, AMBP, MUC17, REG4, KLK13, GP2, APOC3, A2ML1, PRG4, TF, PROC, ALB, NOTUM, INHA	290	1610	18224	2.537074319982866	8.747887969562385E-10	8.747904112888914E-10	8.401070910175257E-10
UP_KEYWORDS	Glycoprotein	122	28.90995260663507	2.6017474870084212E-11	KLB, UGT1A10, SLC8A2, BPIFA1, FGF9, BPIFA2, DUOXA2, SLC39A5, FAM3D, EPHA5, SLC15A1, G6PC, MUCL1, UGT2B15, CEL, OLFM4, GABRG3, MUC3A, PRLR, ADAM2, GLTPD2, AZGP1, SLC9A4, SLC5A8, PSG4, ADGRB1, TMEM59L, CHRNA9, KNG1, CRHR2, SLC5A5, HPX, CHAD, APOF, CLCA2, UGT3A1, CGA, APOB, NTSR1, SLC14A2, AMBP, MUC17, REG4, GP2, A2ML1, PRG4, TMPRSS15, TF, PROC, ALB, FAT2, GALNTL6, PCSK2, RET, PCSK1, ORM1, PSCA, KCNC2, GRIK5, CGB5, HTR2C, SLC6A2, ORM2, C8A, PRB4, GABRR1, UPK1B, GRM4, KCNT1, LBP, UGT2A1, AMH, FGB, PCDHGA8, FGA, ABCC2, IL19, GFRA1, HTR3B, F2, MUC5AC, F7, COL2A1, CEACAM7, ANGPTL3, UGT2B4, CDHR5, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, CDH18, TEX101, ITIH6, GDPD2, SLC3A1, SLC5A12, CPN1, FSTL5, GLRA3, TTR, MUC2, SLITRK2, TAS1R1, SLC13A5, GPHA2, KCNJ1, UGT1A6, MUC6, CHGA, GABRP, LRRC26, KRT13, KLK13, APOC3, KLK12, CLEC2A, A4GNT, NOTUM, INHA, UMODL1	315	4551	20581	1.7514950490560246	7.49304618352653E-9	1.8732581906460634E-9	1.6846314978379528E-9
UP_SEQ_FEATURE	disulfide bond	90	21.32701421800948	5.005908040519974E-11	PCSK2, PCSK1, TRIM72, PRSS1, ORM1, PSCA, CGB5, HTR2C, ORM2, WFDC5, C8A, INSL6, GABRR1, OBP2B, FAM3D, AMH, PRSS2, MSMB, SPINK4, FGB, FGA, SPINK1, MIA, IL19, GFRA1, CEL, HTR3B, OLFM4, F2, GABRG3, MUC3A, PGC, PRLR, MUC5AC, ADAM2, DKK4, F7, AZGP1, CEACAM7, PSG4, ADGRB1, ANGPTL3, UTS2, TFF2, TFF1, CLPSL2, CNTNAP5, S100A7, CALCA, CALCB, CPB1, CHRNA9, TAF1L, KNG1, DLL3, CPN1, CRHR2, FSTL5, HPX, GLRA3, MUC2, CHAD, OR51B5, LAIR2, PI3, CGA, APOB, GPHA2, NTSR1, MUC6, CHGA, GABRP, AMBP, MUC17, REG4, KLK13, GP2, GUCA2B, KLK14, PRG4, TMPRSS15, KLK12, TF, CLEC2A, PROC, ALB, FAT2, GALNTL6, INHA, UMODL1	309	2917	20063	2.003288389787353	5.171101591372462E-8	2.5880544569488264E-8	2.5580190087057066E-8
GOTERM_CC_DIRECT	GO:0005615~extracellular space	56	13.270142180094787	6.412903594859535E-11	PCSK2, PCSK1, ORM1, ORM2, C8A, LGALS4, BPIFA1, FGF9, SPX, LBP, AMH, PRSS2, LGALS7, MSMB, FGB, IL11, FGA, SPINK1, MIA, IL19, CEL, OLFM4, F2, MUC3A, PGC, MUC5AC, F7, AZGP1, COL2A1, ANGPTL3, UTS2, TFF2, TFF1, KRT81, CALCA, CPB1, KNG1, KRT83, CPN1, HPX, TTR, TAC4, TAC3, APOB, CHGA, AMBP, KLK13, KLK14, APOC3, A2ML1, KLK12, TF, PROC, ALB, ERVH48-1, UMODL1	290	1347	18224	2.6125591992422494	1.4557290928252087E-8	7.278645580165573E-9	6.990064918396894E-9
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	13	3.080568720379147	8.444899024308844E-10	CBR1, UGT1A10, UGT2B15, AKR1C4, CYP3A5, CYP2C9, CYP2A6, CYP2B6, GSTA1, UGT2B4, UGT2A1, UGT2B7, UGT1A6	106	74	6879	11.40068842427333	1.3005143961741794E-7	1.300514449743562E-7	1.2582899546220178E-7
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	10	2.3696682464454977	2.06190370303504E-8	CYP2C9, CYP2A6, CYP2B6, G6PC, SULT1E1, UGT2B15, NR1I2, AKR1C4, CYP3A5, UGT2B7	269	43	16792	14.517160888735194	2.5649753373380157E-5	2.5650082065755897E-5	2.5505748806543444E-5
KEGG_PATHWAY	hsa05204:Chemical carcinogenesis	12	2.843601895734597	2.6896572061284027E-8	CYP2C9, CBR1, UGT1A10, CYP2A6, UGT2B15, GSTA1, UGT2B4, UGT2A1, CYP3A5, CYP2C18, UGT2B7, UGT1A6	106	80	6879	9.734433962264152	4.1420635777944526E-6	1.743005536392958E-6	1.6864144475490305E-6
UP_KEYWORDS	Cleavage on pair of basic residues	21	4.976303317535545	2.914892902048625E-8	PCSK2, CHGA, PCSK1, CALCA, CALCB, AMBP, F2, NTS, C8A, DKK4, INSL6, F7, PROC, ALB, TAC4, UTS2, TAC3, SPX, DSG3, INHA, CDH18	315	294	20581	4.666893424036282	8.394856451210408E-6	1.6789783115800079E-6	1.5099145232611877E-6
KEGG_PATHWAY	hsa00830:Retinol metabolism	11	2.6066350710900474	3.395465330635632E-8	CYP2C9, UGT1A10, CYP2A6, CYP2B6, UGT2B15, UGT2B4, UGT2A1, CYP3A5, CYP2C18, UGT2B7, UGT1A6	106	64	6879	11.15403891509434	5.229003027462653E-6	1.743005536392958E-6	1.6864144475490305E-6
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	107	25.355450236966824	3.670499866712343E-8	KLB, UGT1A10, SLC8A2, FGF9, BPIFA2, DUOXA2, SLC39A5, FAM3D, EPHA5, SLC15A1, G6PC, UGT2B15, OLFM4, GABRG3, PRLR, ADAM2, GLTPD2, AZGP1, SLC9A4, SLC5A8, PSG4, ADGRB1, TMEM59L, CHRNA9, KNG1, CRHR2, SLC5A5, HPX, CLCA2, UGT3A1, CGA, APOB, NTSR1, SLC14A2, AMBP, MUC17, REG4, GP2, PRG4, TMPRSS15, TF, PROC, FAT2, GALNTL6, PCSK2, RET, PCSK1, ORM1, PSCA, KCNC2, GRIK5, CGB5, HTR2C, SLC6A2, ORM2, C8A, PRB4, GABRR1, GRM4, KCNT1, LBP, UGT2A1, AMH, FGB, PCDHGA8, FGA, ABCC2, IL19, GFRA1, HTR3B, F2, MUC5AC, F7, COL2A1, CEACAM7, ANGPTL3, UGT2B4, CDHR5, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, CDH18, TEX101, ITIH6, GDPD2, SLC3A1, SLC5A12, FSTL5, GLRA3, TTR, MUC2, SLITRK2, TAS1R1, SLC13A5, GPHA2, UGT1A6, MUC6, GABRP, KLK13, KLK12, CLEC2A, A4GNT, NOTUM, INHA, UMODL1	309	4234	20063	1.640855426788534	3.791554554788412E-5	1.2650989540601876E-5	1.2504169545933383E-5
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	11	2.6066350710900474	6.195574239550935E-8	CYP2C9, UGT1A10, CYP2A6, CYP2B6, UGT2B15, GSTA1, UGT2B4, UGT2A1, CYP3A5, UGT2B7, UGT1A6	106	68	6879	10.49791897891232	9.541139112112518E-6	2.38529608222711E-6	2.3078514042327234E-6
EC_NUMBER	2.4.1.17	7	1.6587677725118484	4.1804254934303684E-7	UGT1A10, UGT2B15, UGT2B4, UGT3A1, UGT2A1, UGT2B7, UGT1A6	65	21	4250	21.794871794871796	2.6336339306820555E-5	2.633668060861132E-5	2.633668060861132E-5
GOTERM_BP_DIRECT	GO:0009813~flavonoid biosynthetic process	7	1.6587677725118484	5.020231298018148E-7	UGT1A10, UGT2B15, UGT2B4, UGT3A1, UGT2A1, UGT2B7, UGT1A6	269	20	16792	21.84832713754647	6.243219601791417E-4	3.122583867367288E-4	3.1050130578242247E-4
UP_KEYWORDS	Ion transport	29	6.872037914691943	6.891455388286849E-7	KCNC2, GRIK5, SLC5A11, CHRNA9, SLC5A12, SLC5A5, SLC8A2, GABRR1, GLRA3, KCNT1, CLCA2, SLC39A5, CNGA3, SLC38A8, SLC13A5, KCNJ1, GABRP, SLC13A2, LRRC26, SLC30A8, SLC30A2, HTR3B, GABRG3, SLC9A4, SLC5A8, TF, FXYD4, ATP6V1B1, CNGB1	315	642	20581	2.951337585917025	1.9845428892140138E-4	3.307898586377687E-5	2.974811575943823E-5
GOTERM_BP_DIRECT	GO:0052696~flavonoid glucuronidation	7	1.6587677725118484	9.407969224521652E-7	UGT1A10, UGT2B15, UGT2B4, UGT3A1, UGT2A1, UGT2B7, UGT1A6	269	22	16792	19.8621155795877	0.0011696673273811076	3.9011712384349784E-4	3.8792193102444276E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	76	18.009478672985782	2.262625984789503E-6	PRSS1, ORM1, PSCA, CALML5, GDA, CALML3, CLDN2, ORM2, C8A, FTCD, CASP14, UPK1B, CALB1, FGF9, BPIFA2, SLC39A5, LBP, LGALS7, KRT6B, FGB, FGA, SLC13A2, CBR1, SPINK1, GFRA1, CEL, KRT75, OLFM4, F2, PGC, MUC5AC, AZGP1, SLC5A8, PSG4, TFF2, CDHR5, DSG3, ALDOB, CDH16, UGT2B7, PADI1, S100A7, ATP6V1B1, DDC, SLC5A12, SLC3A1, SBSN, KNG1, SLC5A5, ACMSD, HPX, TTR, MYH13, TAC3, PI3, APOB, PCK1, UGT1A6, LRRC26, AMBP, KRT13, KLK13, GP2, GUCA2B, KLK14, APOC3, AKR7L, A2ML1, AKR1C4, KLK12, TF, KRT17, PAH, ALB, GSTA1, FAT2	290	2811	18224	1.699019860400643	5.134848011423276E-4	1.6574231241951008E-4	1.5917103131036652E-4
KEGG_PATHWAY	hsa00140:Steroid hormone biosynthesis	9	2.132701421800948	2.2961661338416653E-6	UGT1A10, SULT1E1, UGT2B15, UGT2B4, AKR1C4, UGT2A1, CYP3A5, UGT2B7, UGT1A6	106	58	6879	10.070104098893948	3.5354747794980046E-4	7.07219169223233E-5	6.842575078848163E-5
UP_SEQ_FEATURE	glycosylation site:O-linked (GalNAc...)	11	2.6066350710900474	2.4306775071910027E-6	CHGA, HPX, TF, AMBP, MUCL1, CHAD, CGB5, APOC3, CEL, KNG1, CPN1	309	97	20063	7.363060087412004	0.0025077432615633333	6.283301356088741E-4	6.210381030873011E-4
UP_KEYWORDS	Polymorphism	224	53.08056872037915	2.5385222866872216E-6	PRSS1, CALML5, AQP6, LGALS4, BPIFA2, PRSS2, IFITM5, EPHA5, MUCL1, GABRG3, PRAP1, FAM133A, SLC5A8, RFX6, PSG4, CLDN8, PADI3, ZG16, PADI1, BEX1, MTTP, CRHR2, SLC5A5, MTMR7, HPX, CYP2B6, APOF, MAGEC3, MAGEC1, MAGEC2, APOB, PCK1, B4GALNT2, NTSR1, GLYATL2, REG4, CYP4F3, PRG4, FER1L6, ISX, CYP2C9, TF, PAH, FAT2, PCSK2, RET, PCSK1, ORM1, CITED1, KRT23, KRT20, FMR1NB, WFDC5, C8A, SLC6A2, ORM2, MEDAG, TRIM9, GABRR1, IL11, CBR1, MYBPC1, SMAD5-AS1, IL19, GFRA1, F2, CDC20B, F7, COL2A1, CEACAM7, SLC7A9, ANGPTL3, TFF2, TFF1, ALDOB, HAP1, PNCK, MCCD1, NR1I2, CRCT1, DCAF12L1, SBSN, ASCL1, FSTL5, TUBA3C, SULT1E1, HAS1, LAIR2, GABRP, PNMA5, KRT13, KLK13, KLK14, GUCA2B, AKR1C4, NLRP11, FABP7, A4GNT, GSTA1, INHA, SLC28A2, KLB, MROH2A, UGT1A10, PAGE2, FAM228A, SLC8A2, RGS4, FGF9, DUOXA2, FAM3D, KRT6B, SPINK4, ZNF560, SLC15A1, SPINK1, SLC30A8, G6PC, UGT2B15, ANXA10, SHISA3, OLFM4, KRT75, MUC3A, PRLR, ADAM2, SLC9A4, UTS2, S100A7, CALCA, MAGEA12, CPB1, CHRNA9, CYP2C18, KNG1, NLRP8, ZMAT4, CHAD, SOHLH2, NLRP5, MYH13, CLCA2, OR51B5, UGT3A1, PI3, SLC38A8, MAGEA10, SLC14A2, MUC17, DNAJC12, A2ML1, COX7B2, TMPRSS15, TDRD1, PROC, ALB, PIWIL3, PSCA, CELF3, CGB5, HTR2C, PIK3C2G, CSAG1, FTCD, INSL6, PRB4, UPK1B, GRM4, OBP2B, MYO18B, CNGA3, UGT2A1, LBP, AMH, MSMB, FGB, SUN3, PCDHGA8, FGA, SLC13A2, ABCC2, DDX53, HTR3B, MUC5AC, FAM177B, CYP2A6, UGT2B4, CDHR5, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, ATP6V1B1, CNGB1, KRT81, DDC, TEX101, ITIH6, USH1C, SLC5A11, SLC5A12, SLC3A1, ASB11, TAF1L, CYP3A5, KRT83, DLL3, TTR, MUC2, SLITRK2, SLITRK1, EPS8L3, TAS1R1, KCNJ1, UGT1A6, MUC6, CHGA, NAA11, APOC3, AKR7L, CTCFL, CLEC2A, UMODL1	315	12043	20581	1.2152601326727377	7.308281614375467E-4	1.0444205979513141E-4	9.39253246074272E-5
GOTERM_CC_DIRECT	GO:0005796~Golgi lumen	11	2.6066350710900474	2.920569381841587E-6	F7, MUC2, PROC, MUCL1, MUC17, ZG16, F2, CGA, MUC3A, MUC5AC, MUC6	290	96	18224	7.200574712643679	6.627505016182367E-4	1.6574231241951008E-4	1.5917103131036652E-4
GOTERM_BP_DIRECT	GO:0052695~cellular glucuronidation	6	1.4218009478672986	3.7733745442436975E-6	UGT1A10, UGT2B15, UGT2B4, UGT2A1, UGT2B7, UGT1A6	269	16	16792	23.4089219330855	0.00468308678235041	0.0011735194832597899	0.0011669160778073635
GOTERM_MF_DIRECT	GO:0015020~glucuronosyltransferase activity	7	1.6587677725118484	5.178991507088384E-6	UGT1A10, UGT2B15, UGT2B4, UGT3A1, UGT2A1, UGT2B7, UGT1A6	268	29	16881	15.204194544518785	0.002239996584432191	0.00224250332256927	0.002185534415991298
UP_KEYWORDS	Transport	56	13.270142180094787	8.651132063630596E-6	TRIM72, ORM1, KCNC2, GRIK5, AQP6, SLC6A2, ORM2, SLC8A2, RIMS1, GABRR1, KCNT1, OBP2B, DUOXA2, SLC39A5, CNGA3, LBP, SLC13A2, SLC15A1, SLC30A8, ABCC2, SLC30A2, HTR3B, GABRG3, SLC9A4, SLC5A8, SLC7A9, HAP1, ZG16, CDH17, ATP6V1B1, CNGB1, MTTP, SLC5A11, CHRNA9, SLC5A12, SLC3A1, CPLX2, SLC5A5, HPX, GLRA3, TTR, IGF2BP1, CLCA2, APOF, SLC38A8, SLC13A5, APOB, KCNJ1, GABRP, LRRC26, SLC14A2, APOC3, TF, FXYD4, FABP7, SLC28A2	315	1978	20581	1.8497696887990114	0.0024884355100036615	3.1144075429070147E-4	2.8008040056004053E-4
UP_KEYWORDS	Hormone	10	2.3696682464454977	1.4865250277017615E-5	INSL6, CALCA, TTR, CALCB, CGB5, UTS2, SPX, INHA, CGA, GPHA2	315	95	20581	6.877527151211361	0.004272072525911219	4.756880088645637E-4	4.277888690830625E-4
UP_SEQ_FEATURE	sequence variant	227	53.79146919431279	1.492816932069662E-5	PRSS1, CALML5, GLDC, AQP6, LGALS4, BPIFA2, PRSS2, IFITM5, EPHA5, MUCL1, GABRG3, PRAP1, FAM133A, SLC5A8, RFX6, PSG4, CLDN8, PADI3, ZG16, PADI1, BEX1, MTTP, CRHR2, SLC5A5, MTMR7, HPX, CYP2B6, APOF, MAGEC3, MAGEC1, MAGEC2, APOB, PCK1, B4GALNT2, NTSR1, GLYATL2, REG4, CYP4F3, PRG4, FER1L6, ISX, CYP2C9, TF, PAH, FAT2, PCSK2, RET, PCSK1, ORM1, CITED1, GRIK5, KRT23, KRT20, FMR1NB, WFDC5, C8A, SLC6A2, ORM2, MEDAG, TRIM9, GABRR1, IL11, CBR1, MYBPC1, SMAD5-AS1, IL19, GFRA1, F2, CDC20B, F7, COL2A1, CEACAM7, SLC7A9, ANGPTL3, TFF2, TFF1, ALDOB, HAP1, PNCK, MCCD1, NR1I2, CRCT1, DCAF12L1, ASCL1, CPN1, FSTL5, TUBA3C, SULT1E1, HAS1, LAIR2, GABRP, PNMA5, KRT13, KLK13, KLK14, GUCA2B, AKR1C4, NLRP11, KRT17, FABP7, A4GNT, GSTA1, INHA, SLC28A2, KLB, UGT1A10, PAGE2, FAM228A, SLC8A2, RGS4, RIMS1, FGF9, DUOXA2, FAM3D, KRT6B, SPINK4, ZNF560, SLC15A1, SPINK1, SLC30A8, G6PC, UGT2B15, ANXA10, SHISA3, OLFM4, KRT75, MUC3A, PRLR, ADAM2, SLC9A4, MYCN, UTS2, S100A7, CALCA, MAGEA12, CPB1, CHRNA9, CYP2C18, KNG1, NLRP8, ZMAT4, CHAD, SOHLH2, NLRP5, MYH13, CLCA2, OR51B5, UGT3A1, PI3, SLC38A8, MAGEA10, TFAP2B, SLC14A2, MUC17, DNAJC12, COX7B2, TMPRSS15, TDRD1, PROC, ALB, PIWIL3, PSCA, CGB5, HTR2C, PIK3C2G, CSAG1, FTCD, INSL6, PRB4, UPK1B, GRM4, OBP2B, MYO18B, CNGA3, UGT2A1, LBP, AMH, MSMB, FGB, SUN3, PCDHGA8, FGA, SLC13A2, ABCC2, DDX53, HTR3B, MUC5AC, FAM177B, CYP2A6, UGT2B4, CDHR5, DSG3, CDH16, CDH17, CNTNAP5, UGT2B7, ATP6V1B1, CNGB1, KRT81, DDC, TEX101, ITIH6, USH1C, SLC5A11, SLC5A12, SLC3A1, ASB11, TAF1L, CYP3A5, KRT83, DLL3, TTR, MUC2, SLITRK2, SLITRK1, EPS8L3, TAS1R1, KCNJ1, UGT1A6, MUC6, CHGA, NAA11, APOC3, AKR7L, CTCFL, CLEC2A, UMODL1	309	12443	20063	1.1845084133811996	0.015302620562070213	0.0030871454155200614	0.0030513178091503895
UP_KEYWORDS	Microsome	11	2.6066350710900474	2.93586133933812E-5	CYP2C9, UGT1A10, CYP2A6, CYP2B6, CYP4F3, UGT2B15, UGT2B4, CYP3A5, CYP2C18, UGT2B7, UGT1A6	315	129	20581	5.5713301341208314	0.008419758381390863	8.455280657293786E-4	7.60388086888573E-4
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	12	2.843601895734597	3.157965806495919E-5	FGB, FGA, HPX, TF, PRSS1, ORM1, AMBP, ALB, F2, C8A, ORM2, KNG1	290	152	18224	4.961161524500907	0.007143061765942038	0.0014337164761491473	0.0013768730916322207
