mirnaid,refseqid,genesymbol,duplex,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-496,NM_014667,VGLL4,(((((((((....((((((((.&))))))))...))))))))).,1995,2016,0.9538461538461539,-17.8,1,0.06918586,0.574,6.239958888888889,1.7064732024999998,-12.640789312202793,17,21,9,3UTR,,0,0
hsa-miR-496,NM_020198,CCDC47,...(((((.((((((((.(((.&)))..))))))))))))).,2607,2626,0.9538461538461539,-17.0,1,0.01354772,0.647,5.449248,5.358020417499999,-7.570929851924502,16,19,13,3UTR,,0,0
hsa-miR-496,NM_022766,CERK,.(((((((((..(((((..(((&))))))).)..))))))))).,3907,3928,0.9538461538461539,-20.7,1,0.0001285719,0.456,3.610091,2.8413490912500006,-9.964902622363823,17,21,9,3UTR,,0,0
hsa-miR-496,NM_001256750,PEX5L,..((((((((((((((((((.(&.).)))))))....))))))))))).,8474,8508,0.9615384615384616,-21.4,1,0.002608339,0.706,5.2671246363636355,4.9997937414999996,-4.95700071937229,19,26,11,3UTR,,0,0
hsa-miR-496,NM_001256755,PEX5L,.(((((((((.(((((......&))))).)))))).))).,3732,3749,0.9615384615384616,-18.6,1,5.64554e-05,0.471,-0.035976110000000006,0.13511206624999994,-6.618099312767468,14,17,6,3UTR,,0,0
hsa-miR-496,NM_001256756,PEX5L,.(((((((((.(((((......&))))).)))))).))).,3822,3839,0.9615384615384616,-18.6,1,5.64554e-05,0.471,0.05317343999999998,0.18689781625,-6.618099312767468,14,17,6,3UTR,,0,0
hsa-miR-496,NM_001287054,ZKSCAN1,(((.((((((((((((((((((&)))))))...))))))))).)).))).,3591,3618,0.9615384615384616,-20.7,1,0.00490657,0.515,-0.2900127045454545,-0.14771153875000004,-6.969596721160855,21,27,9,3UTR,,0,0
hsa-miR-496,NM_001317406,SLC6A11,....(((..(((((((((((..&.)))))))))))..))).,7490,7509,0.9615384615384616,-21.1,1,0.0001054178,0.588,-0.05575945454545454,0.01764723600000008,-12.916587056064323,14,18,11,3UTR,,0,0
hsa-miR-496,NM_031895,CACNG8,(((((....(((((((..(((.&)))..)))))))))))).,6461,6479,0.9615384615384616,-19.5,1,0.0003483839,0.544,-0.20571685714285712,0.2764119975,-10.752244329692425,15,18,12,3UTR,,0,0
hsa-miR-496,NM_032523,OSBPL6,.((((((((((((((((.....&.)))))............))))))))))).,3794,3833,0.9615384615384616,-18.6,1,0.02051911,0.544,1.6963516442857143,1.9456261887499995,-3.793324837357118,16,30,11,3UTR,,0,0
hsa-miR-496,NM_145739,OSBPL6,.((((((((((((((((.....&.)))))............))))))))))).,3415,3454,0.9615384615384616,-18.6,1,0.02051911,0.544,1.6963516442857143,1.9456261887499995,-3.793324837357118,16,30,11,3UTR,,0,0
hsa-miR-496,NM_173814,PRTG,.((((((((..(((((..((((&))))..)))))...)))))))).,9598,9621,0.9615384615384616,-22.1,1,0.06675685,0.618,3.64855821125,4.012672913749999,-7.8606057810956464,17,23,8,3UTR,,0,0
hsa-miR-496,NM_173825,RABL3,(((((.(((((((((.(((((.&)))))...))))))))).))))).,3807,3831,0.9615384615384616,-17.4,1,0.04506567,0.691,0.6954124444444445,0.6609457400000001,-6.071582287698324,19,24,9,3UTR,,0,0
hsa-miR-496,NM_183353,RLIM,.((.((((((..(((((((...&)))))))..))))))..)).,7492,7512,0.9615384615384616,-18.0,1,0.002201348,0.515,1.2398424857142858,0.7194797749999999,-12.996924897323014,15,20,7,3UTR,,0,0
hsa-miR-496,NM_206853,QKI,.((((((((...(((((((...&)))))))....)))))))).,3790,3810,0.9615384615384616,-18.9,1,0.0371062,0.676,0.532169281,0.43476615805000013,-11.207409090692002,15,20,8,3UTR,,0,1
hsa-miR-496,NM_206854,QKI,.((((((((...(((((((...&)))))))....)))))))).,5069,5089,0.9615384615384616,-18.9,1,0.0371062,0.676,0.532169281,0.43476615805000013,-11.207409090692002,15,20,8,3UTR,,0,1
hsa-miR-496,NM_206855,QKI,.((((((((...(((((((...&)))))))....)))))))).,6016,6036,0.9615384615384616,-18.9,1,0.0371062,0.676,0.532169281,0.43476615805000013,-11.207409090692002,15,20,8,3UTR,,0,1
hsa-miR-496,XM_011533041,PAPOLG,((((((((.((((((((((((.&)))))))).)))).)))))))).,2748,2771,0.9615384615384616,-22.3,1,0.001410301,0.721,0.0,0.0,-4.993964104447428,20,23,8,3UTR,,0,0
hsa-miR-496,XM_017004724,PAPOLG,((((((((.((((((((((((.&)))))))).)))).)))))))).,2846,2869,0.9615384615384616,-22.3,1,0.001410301,0.721,0.0,0.0,-4.993964104447428,20,23,8,3UTR,,0,0
hsa-miR-496,NM_016277,RAB23,((((((((.(((.((((((.((&.)).)))))).))).)))))))).,4009,4058,0.9615384615384616,-21.2,1,0.0005696109,0.574,5.3528647875,5.80415155625,-6.283094717113671,19,24,8,3UTR,,0,0
hsa-miR-496,NM_016559,PEX5L,..((((((((((((((((((.(&.).)))))))....))))))))))).,8480,8514,0.9615384615384616,-21.4,1,0.002608339,0.706,5.755104590909091,4.9279944065,-4.95700071937229,19,26,11,3UTR,,0,0
hsa-miR-496,NM_016823,CRK,.((((((((((.(((((((.((&)).)))))))))))))).))).,3261,3283,0.9615384615384616,-19.1,1,0.0006705349,0.676,5.427365454545455,5.8269004125,-7.140128146953473,19,22,14,3UTR,,0,0
hsa-miR-496,NM_018397,CHDH,((.(((((((((((((((....&))))))..))))))))))).,6458,6478,0.9615384615384616,-19.6,1,0.000253491,0.456,2.9890330352941175,3.2848005574999997,-5.495113920508112,17,20,11,3UTR,,0,0
hsa-miR-496,NM_018662,DISC1,((((((((((((.(((......&.))).)))))))))))).,4022,4052,0.9615384615384616,-22.0,1,0.002340281,0.647,0.0386220166666667,-0.3759701274999999,-5.226705058867908,15,18,12,3UTR,,0,0
hsa-miR-496,NM_019091,PLEKHA3,((((.(((((.((((((((...&))))))))..))))))))).,9148,9168,0.9615384615384616,-20.7,1,0.0002381543,0.456,0.19650924999999997,0.05811261124999999,-10.881386096424487,17,20,9,3UTR,,0,0
hsa-miR-496,NM_023948,MOSPD3,(((((((((((((((.......&)))).))))))))))).,1015,1032,0.9615384615384616,-20.7,1,0.01164558,0.426,1.075973475,-0.3216101075,-4.1706235265052785,15,17,11,3UTR,,0,0
hsa-miR-496,NM_002731,PRKACB,((((((((....(((((((...&.)))))))....)))))))).,4192,4236,0.9615384615384616,-19.9,1,0.007935764,0.647,0.5780133625,1.2119784512500003,-12.408048357782313,15,21,8,3UTR,,0,1
hsa-miR-496,NM_003439,ZKSCAN1,(((.((((((((((((((((((&)))))))...))))))))).)).))).,3562,3589,0.9615384615384616,-20.7,1,0.00490657,0.515,-0.2900127045454545,-0.14771153875000004,-6.969596721160855,21,27,9,3UTR,,0,0
hsa-miR-496,NM_003469,SCG2,(((((((((((..((((.....&.))))..))).)))))))).,2185,2244,0.9615384615384616,-19.0,1,0.0005274457,0.691,2.3154574166666673,3.289983065750001,-8.573508368464264,15,20,8,3UTR,,0,0
hsa-miR-496,NM_005206,CRK,.((((((((((.(((((((.((&)).)))))))))))))).))).,3091,3113,0.9615384615384616,-19.1,1,0.0006705349,0.676,5.427365454545455,5.8269004125,-7.140128146953473,19,22,14,3UTR,,0,0
hsa-miR-496,NM_006895,HNMT,((((((((((((((........&.)))))))))))))).,2100,2150,0.9615384615384616,-20.5,1,0.00296372,0.515,-0.3085311714285715,-0.31613386875,-4.906073086755913,14,16,14,3UTR,,0,0
hsa-miR-496,NM_013386,SLC25A24,(((((....(.((((((((((.&)))))))))))))))).,3798,3815,0.9615384615384616,-19.6,1,2.720209e-05,0.456,3.5931632000000002,3.4182561700000007,-13.577018805102776,16,17,16,3UTR,,0,0
hsa-miR-496,NM_001330432,KIAA1841,((((((((((((((((((....&.)))))))..))))))).)))).,3985,4033,0.9615384615384616,-21.4,1,0.0001186635,0.456,0.6878741380952382,0.3959114199999999,-3.937574446201665,18,23,7,3UTR,,0,0
hsa-miR-496,NM_001346580,ZKSCAN1,(((.((((((((((((((((((&)))))))...))))))))).)).))).,3472,3499,0.9615384615384616,-20.7,1,0.00490657,0.515,-0.2900127045454545,-0.14771153875000004,-6.969596721160855,21,27,9,3UTR,,0,0
hsa-miR-496,NM_001349338,FOXP1,(((((..(((((((((......&))))..)))))))))).,6874,6891,0.9615384615384616,-16.6,1,6.952568e-05,0.5,1.3193520363636362,1.49160151625,-7.382219742266031,14,17,10,3UTR,,0,0
hsa-miR-496,NM_001349340,FOXP1,(((((..(((((((((......&))))..)))))))))).,6779,6796,0.9615384615384616,-16.6,1,6.952568e-05,0.5,1.3193520363636362,1.49160151625,-7.382219742266031,14,17,10,3UTR,,0,0
hsa-miR-496,NM_001349341,FOXP1,(((((..(((((((((......&))))..)))))))))).,6871,6888,0.9615384615384616,-16.6,1,6.952568e-05,0.5,1.3193520363636362,1.49160151625,-7.382219742266031,14,17,10,3UTR,,0,0
hsa-miR-496,NM_001357857,ATXN1,(((((((((.((((((((....&)))))))).))))))))).,5566,5585,0.9615384615384616,-18.2,1,0.03603141,0.618,3.8205208888888893,2.5976248125,-5.180080914529843,17,19,9,3UTR,,0,0
hsa-miR-496,NM_001012957,DISC1,((((((((((((.(((......&.))).)))))))))))).,3956,3986,0.9615384615384616,-22.0,1,0.002340281,0.647,0.0386220166666667,-0.3759701274999999,-5.226705058867908,15,18,12,3UTR,,0,0
hsa-miR-496,NM_001039547,GK5,((((((((((((((((......&)))))..))))))).)))).,7194,7214,0.9615384615384616,-19.8,1,5.621675e-05,0.515,0.5342824421052631,0.22950793375,-3.937574446201665,16,20,7,3UTR,,0,0
hsa-miR-496,NM_001040097,MOSPD3,(((((((((((((((.......&)))).))))))))))).,905,922,0.9615384615384616,-20.7,1,0.01164558,0.426,1.075973475,-0.3216101075,-4.1706235265052785,15,17,11,3UTR,,0,0
hsa-miR-496,NM_001040098,MOSPD3,(((((((((((((((.......&)))).))))))))))).,881,898,0.9615384615384616,-20.7,1,0.01164558,0.426,1.075973475,-0.3216101075,-4.1706235265052785,15,17,11,3UTR,,0,0
hsa-miR-496,NM_001040099,MOSPD3,(((((((((((((((.......&)))).))))))))))).,985,1002,0.9615384615384616,-20.7,1,0.01164558,0.426,1.075973475,-0.3216101075,-4.1706235265052785,15,17,11,3UTR,,0,0
hsa-miR-496,NM_001129993,KIAA1841,((((((((((((((((((....&.)))))))..))))))).)))).,4079,4127,0.9615384615384616,-21.4,1,0.0001186635,0.456,0.8174234714285714,0.38290886999999996,-3.937574446201665,18,23,7,3UTR,,0,0
hsa-miR-496,NM_001135036,TVP23C,...(((((((((((((......&.))))))))))))).,3188,3214,0.9615384615384616,-22.7,1,0.01261042,0.603,0.17645723076923073,0.2615831275,-6.514540193678739,13,15,13,3UTR,,0,0
hsa-miR-496,NM_001161504,ALDH4A1,((((((...(((.(((.(((((&)))))))).))).....)))))).,3189,3213,0.9615384615384616,-18.1,1,0.0004008305,0.544,0.11224400000000001,0.05879914534090912,-10.140416181165621,17,24,8,3UTR,,0,0
hsa-miR-496,NM_001164540,DISC1,((((((((((((.(((......&.))).)))))))))))).,3656,3686,0.9615384615384616,-22.0,1,0.002340281,0.647,0.0386220166666667,-0.3759701274999999,-5.226705058867908,15,18,12,3UTR,,0,0
hsa-miR-496,NM_001184723,TM4SF18,(((((((.((((((........&.)))))).))))))).,2778,2798,0.9615384615384616,-17.7,1,0.002757617,0.456,0.2994767142857143,0.16605979125000003,-7.219708015936543,13,16,7,3UTR,,0,0
hsa-miR-496,NM_001201482,OSBPL6,.((((((((((((((((.....&.)))))............))))))))))).,3686,3725,0.9615384615384616,-18.6,1,0.02051911,0.544,1.6591182864285716,1.3318425762500001,-3.793324837357118,16,30,11,3UTR,,0,0
hsa-miR-496,NM_001242858,PRKACB,((((((((....(((((((...&.)))))))....)))))))).,4017,4061,0.9615384615384616,-19.9,1,0.007935764,0.647,1.41656025,0.7819849425000001,-12.408048357782313,15,21,8,3UTR,,0,1
hsa-miR-496,NM_001242859,PRKACB,((((((((....(((((((...&.)))))))....)))))))).,4065,4109,0.9615384615384616,-19.9,1,0.007935764,0.647,2.22110925,1.2842459637499999,-12.408048357782313,15,21,8,3UTR,,0,1
hsa-miR-496,NM_001242860,PRKACB,((((((((....(((((((...&)))))))....)))))))).,4300,4320,0.9615384615384616,-19.4,1,0.007935764,0.647,2.2568092500000003,2.1717831999999992,-12.408048357782313,15,20,8,3UTR,,0,1
hsa-miR-496,NM_001244808,FOXP1,(((((..(((((((((......&))))..)))))))))).,6871,6888,0.9615384615384616,-16.6,1,6.952568e-05,0.5,1.3193520363636362,1.49160151625,-7.382219742266031,14,17,10,3UTR,,0,0
